a,"Collectors.ConcatSpliterator#aSpliterator,DateFormat.getDateTimeInstance#aLocale,FocusTraversalPolicy.getComponentBefore#aComponent,FocusTraversalPolicy.getDefaultComponent#aContainer,EllipticCurve#getA",5
a1,"Arrays.deepEquals#a1",1
a2,"Arrays.deepEquals#a2",1
aa,"FontRenderContext.FontRenderContext#aaHint",1
abnormally,"ForkJoinTask#isCompletedAbnormally",1
abort,"CacheRequest#abort,PixelGrabber#abortGrabbing,AbortPolicy#AbortPolicy,PrinterAbortException#PrinterAbortException",4
aborted,"WriteAbortedException#WriteAbortedException",1
abs,"MouseWheelEvent.MouseWheelEvent#xAbs,MouseWheelEvent.MouseWheelEvent#yAbs,StrictMath#abs",3
absent,"AsynchronousCompletionTask.getNow#valueIfAbsent,CopyOnWriteArrayList#addAllAbsent,CopyOnWriteArrayList#addIfAbsent,Provider#computeIfAbsent,Provider#putIfAbsent",5
absolute,"AbstractPreferences#absolutePath,File#getAbsoluteFile,File#getAbsolutePath,File#isAbsolute",4
absorb,"GlyphJustificationInfo.GlyphJustificationInfo#growAbsorb,GlyphJustificationInfo.GlyphJustificationInfo#shrinkAbsorb",2
abstract,"DragSource.createDragGestureRecognizer#recognizerAbstractClass,Toolkit.createDragGestureRecognizer#abstractRecognizerClass,Modifier#isAbstract,AbstractChronology#AbstractChronology,AbstractCollection#AbstractCollection,AbstractDoubleSpliterator#AbstractDoubleSpliterator,AbstractExecutorService#AbstractExecutorService,AbstractIntSpliterator#AbstractIntSpliterator,AbstractInterruptibleChannel#AbstractInterruptibleChannel,AbstractList#AbstractList,AbstractLongSpliterator#AbstractLongSpliterator,AbstractMap#AbstractMap,AbstractMethodError#AbstractMethodError,AbstractOwnableSynchronizer#AbstractOwnableSynchronizer,AbstractPreferences#AbstractPreferences,AbstractQueue#AbstractQueue,AbstractQueuedLongSynchronizer#AbstractQueuedLongSynchronizer,AbstractQueuedSynchronizer#AbstractQueuedSynchronizer,AbstractSelectableChannel#AbstractSelectableChannel,AbstractSelectionKey#AbstractSelectionKey,AbstractSelector#AbstractSelector,AbstractSequentialList#AbstractSequentialList,AbstractSet#AbstractSet,AbstractSpliterator#AbstractSpliterator",24
acc,"System.newThreadWithAcc#acc,System#newThreadWithAcc",2
accelerated,"ImageCapabilities.ImageCapabilities#accelerated,GraphicsDevice#getAvailableAcceleratedMemory,ImageCapabilities#isAccelerated",3
acceleration,"Image#getAccelerationPriority,Image#setAccelerationPriority",2
accept,"CompletionStage#acceptEither,CompletionStage#acceptEitherAsync,CompletionStage#thenAccept,CompletionStage#thenAcceptAsync,CompletionStage#thenAcceptBoth,CompletionStage#thenAcceptBothAsync,Component#acceptRequestFocus,Container#accept,CookiePolicy#shouldAccept,DropTargetDragEvent#acceptDrag,DropTargetDropEvent#acceptDrop,Panel#acceptEvent,SecurityManager#checkAccept,AcceptPendingException#AcceptPendingException",14
acceptable,"SelectionKey#isAcceptable",1
access,"FilterReader.setPermission#access,LinkedHashMap.LinkedHashMap#accessOrder,AWTEvent#getAccessControlContext,FileSystemProvider#checkAccess,SecurityManager#checkAwtEventQueueAccess,SecurityManager#checkMemberAccess,SecurityManager#checkPackageAccess,SecurityManager#checkPrintJobAccess,SecurityManager#checkPropertiesAccess,SecurityManager#checkPropertyAccess,SecurityManager#checkSecurityAccess,SecurityManager#checkSystemClipboardAccess,SerializedLambda#makeAccessException,ZipEntry#getLastAccessTime,ZipEntry#setLastAccessTime,AccessControlContext#AccessControlContext,AccessControlException#AccessControlException,AccessController#AccessController,AccessDeniedException#AccessDeniedException,AccessException#AccessException,IllegalAccessError#IllegalAccessError,IllegalAccessException#IllegalAccessException,RandomAccess#RandomAccess,RandomAccessFile#RandomAccessFile",24
accessible,"AccessibleObject#isAccessible,AccessibleObject#setAccessible,Checkbox#AccessibleAWTCheckbox,Choice#AccessibleAWTChoice,Component#getAccessibleComponent,Component#getAccessibleDescription,Component#getAccessibleIndexInParent,Component#getAccessibleParent,Container#getAccessibleAt,Container#getAccessibleChild,Container#getAccessibleChildrenCount,Label#AccessibleAWTLabel,List#AccessibleAWTList,List#AccessibleAWTListChild,MenuComponent#addAccessibleSelection,MenuComponent#clearAccessibleSelection,MenuComponent#getAccessibleSelection,MenuComponent#getAccessibleSelectionCount,MenuComponent#isAccessibleChildSelected,MenuComponent#removeAccessibleSelection,MenuComponent#selectAllAccessibleSelection,MenuItem#doAccessibleAction,MenuItem#getAccessibleAction,MenuItem#getAccessibleActionCount,MenuItem#getAccessibleActionDescription,MenuItem#getAccessibleName,Scrollbar#getAccessibleContext,Scrollbar#getAccessibleRole,Scrollbar#getAccessibleStateSet,Scrollbar#getAccessibleValue,Scrollbar#getCurrentAccessibleValue,Scrollbar#getMaximumAccessibleValue,Scrollbar#getMinimumAccessibleValue,Scrollbar#setCurrentAccessibleValue,SerializedLambda#isAccessibleFrom,TextComponent#AccessibleAWTTextComponent,TextComponent#getAccessibleText,AccessibleObject#AccessibleObject",38
accessor,"Member.setConstructorAccessor#accessor,Member#getConstructorAccessor,Member#getMethodAccessor,Member#setConstructorAccessor,Member#setMethodAccessor,TemporalAccessor#TemporalAccessor",6
accumulate,"AtomicLongArray#accumulateAndGet,AtomicLongArray#getAndAccumulate,LongAccumulator#accumulate",3
accumulator,"AtomicLongArray.accumulateAndGet#accumulatorFunction,Builder.collect#accumulator,Collectors#accumulator,DoubleAccumulator#DoubleAccumulator,LongAccumulator#LongAccumulator",5
aci,"GlyphMetrics.deleteChar#aci",1
acl,"Acl#Acl,AclEntry#AclEntry,AclFileAttributeView#AclFileAttributeView,AclNotFoundException#AclNotFoundException",4
acos,"StrictMath#acos",1
acquire,"AbstractQueuedSynchronizer#acquireInterruptibly,AbstractQueuedSynchronizer#acquireShared,AbstractQueuedSynchronizer#acquireSharedInterruptibly,AbstractQueuedSynchronizer#tryAcquireNanos,AbstractQueuedSynchronizer#tryAcquireSharedNanos,Semaphore#acquire,Semaphore#acquireUninterruptibly,Semaphore#tryAcquire",8
acquired,"FileLock#acquiredBy",1
act,"DropTarget.DropTarget#act",1
action,"CharsetEncoder.onUnmappableCharacter#newAction,CyclicBarrier.CyclicBarrier#barrierAction,DragSourceDropEvent.DragSourceDropEvent#action,DropTargetDropEvent.acceptDrop#dropAction,ActionEvent#getActionCommand,ActionListener#actionPerformed,CharsetEncoder#malformedInputAction,CharsetEncoder#unmappableCharacterAction,Component#action,DragGestureEvent#getDragAction,DragSourceContext#dropActionChanged,DragSourceDragEvent#getUserAction,DropTargetDropEvent#getDropAction,EventHandler#getAction,KeyEvent#isActionKey,MenuItem#addActionListener,MenuItem#doAccessibleAction,MenuItem#getAccessibleAction,MenuItem#getAccessibleActionCount,MenuItem#getAccessibleActionDescription,MenuItem#getActionCommandImpl,MenuItem#getActionListeners,MenuItem#removeActionListener,MenuItem#setActionCommand,ActionEvent#ActionEvent,ActionListener#ActionListener,CodingErrorAction#CodingErrorAction,DriverAction#DriverAction,PrivilegedAction#PrivilegedAction,PrivilegedActionException#PrivilegedActionException,PrivilegedExceptionAction#PrivilegedExceptionAction,RecursiveAction#RecursiveAction",32
actions,"SQLPermission.SQLPermission#actions,Toolkit.createDragGestureRecognizer#srcActions,DragGestureRecognizer#setSourceActions,DragSourceDragEvent#getTargetActions,DropTarget#getDefaultActions,DropTarget#setDefaultActions,DropTargetDropEvent#getSourceActions,FilePermission#getActions,UnresolvedPermission#getUnresolvedActions",9
activatable,"Activatable#Activatable",1
activate,"Activator#activate,ActivateFailedException#ActivateFailedException",2
activated,"WindowListener#windowActivated",1
activation,"ActivationSystem#getActivationDesc,ActivationSystem#getActivationGroupDesc,ActivationSystem#setActivationDesc,ActivationSystem#setActivationGroupDesc,ActivationDesc#ActivationDesc,ActivationException#ActivationException,ActivationGroup#ActivationGroup,ActivationGroupDesc#ActivationGroupDesc,ActivationGroupID#ActivationGroupID,ActivationID#ActivationID,ActivationInstantiator#ActivationInstantiator,ActivationMonitor#ActivationMonitor,ActivationSystem#ActivationSystem",13
activator,"ActivationID.ActivationID#activator,Activator#Activator",2
